income,expenses,total_savings,monthly_savings,membership_duration,loan_amount,duration,num_dependents,expected_return,guarantor_salary,collateral_value,collateral_type,collateral_type_score,has_guarantor,business_type,purpose,borrower_type,default_probability,defaulted
12674,6456,26799,1830,14,69771,7,6,52052,0,5536,equipment,0.5,0,Construction,Working Capital,construction,1.0,1
5993,5236,20874,678,7,75105,9,6,59443,0,21628,other,0.2,0,Services,Working Capital,daily_laborer,1.0,1
12201,5154,45956,1466,10,75723,23,1,148266,13769,109501,equipment,0.5,1,Food & Beverage,Equipment Purchase,small_trader,0.4308,0
11819,7107,57405,1199,29,184612,22,5,438759,0,172301,equipment,0.5,0,Retail Trade,Working Capital,small_trader,1.0,1
18255,9995,69178,2246,18,166860,16,5,358875,0,211811,savings,0.7,0,Food & Beverage,Working Capital,small_trader,1.0,1
27620,13725,121219,5506,27,173234,12,4,397215,0,258532,equipment,0.5,0,Technology,Business Expansion,micro_entrepreneur,1.0,1
6202,4055,79632,957,14,37149,17,2,61896,3739,4577,other,0.2,1,Construction,Working Capital,construction,1.0,1
17729,9518,129198,4646,20,246810,31,4,826967,19291,324553,vehicle,0.8,1,Manufacturing,Business Expansion,micro_entrepreneur,0.575,1
31812,14133,197131,16850,43,600302,44,1,1150226,31460,497571,property,1.0,1,Technology,Construction Project,professional,1.0,1
19777,8071,102220,4632,10,68306,14,2,164444,0,85538,savings,0.7,0,Food & Beverage,Equipment Purchase,small_trader,0.452,0
20078,10881,166803,4086,15,89481,27,3,156944,10212,55288,equipment,0.5,1,Retail Trade,Business Expansion,micro_entrepreneur,0.3412,0
5898,5082,10064,908,13,42856,3,3,59272,0,0,none,0.0,0,Other,Medical Emergency,daily_laborer,1.0,1
10571,6006,68850,3153,18,82129,12,5,129534,8258,0,none,0.0,1,Agriculture,Working Capital,farmer,1.0,1
2728,2091,1098,662,2,7307,10,8,5170,0,0,none,0.0,0,Services,Other,daily_laborer,1.0,1
16615,8569,39992,7760,23,74609,8,3,135174,9393,157272,vehicle,0.8,1,Services,Vehicle Purchase,civil_servant,1.0,1
31759,10233,486997,15626,18,314604,31,2,499829,0,469024,property,1.0,0,Services,Vehicle Purchase,professional,0.4112,1
5631,4957,5703,294,10,10387,8,3,6429,0,0,none,0.0,0,Construction,Other,daily_laborer,1.0,1
10527,5530,96961,3603,10,89172,12,5,161429,2494,0,none,0.0,1,Agriculture,Working Capital,farmer,1.0,1
5147,2725,15254,4898,44,291157,14,3,703879,1844,276574,equipment,0.5,1,Food & Beverage,Business Expansion,small_trader,1.0,1
33375,15871,120424,2962,50,259426,22,4,679559,27091,533676,property,1.0,1,Services,Vehicle Purchase,civil_servant,0.5432,1
41004,20188,156922,8591,12,99763,13,3,358333,37619,198279,property,1.0,1,Services,Education,professional,0.2625,0
17832,10204,15770,2084,17,128294,17,5,212438,6484,0,none,0.0,1,Construction,Business Expansion,construction,1.0,1
29172,9707,68066,6668,33,235382,21,3,656208,18440,679198,vehicle,0.8,1,Technology,Construction Project,professional,1.0,1
45212,20878,458633,20899,58,356188,23,0,934900,60306,925434,property,1.0,1,Services,Education,professional,0.4112,0
3324,2199,7980,583,15,39807,9,5,51146,0,29,other,0.2,0,Other,Working Capital,daily_laborer,1.0,1
19895,8794,36590,4117,18,89289,16,4,199719,7277,71159,savings,0.7,1,Retail Trade,Working Capital,small_trader,0.5157,0
6866,4700,15118,448,3,74760,7,3,60555,0,0,none,0.0,0,Other,Other,daily_laborer,1.0,1
7613,6441,19932,707,2,72425,11,7,37422,0,11617,other,0.2,0,Construction,Medical Emergency,daily_laborer,1.0,1
22348,10868,476241,22183,24,693633,29,2,2498120,20708,1834297,property,1.0,1,Technology,Business Expansion,professional,1.0,1
46121,16090,382895,23914,18,433271,14,0,747196,61744,1136482,property,1.0,1,Technology,Construction Project,professional,1.0,1
7287,3776,49201,3578,10,134826,6,4,211066,0,42777,equipment,0.5,0,Construction,Business Expansion,construction,1.0,1
9068,5932,86795,3193,6,142093,13,5,224350,6803,42888,livestock,0.4,1,Agriculture,Equipment Purchase,farmer,1.0,1
30251,10624,150100,7397,47,715631,20,0,1634799,28183,1145318,savings,0.7,1,Services,Vehicle Purchase,professional,1.0,1
16016,10599,58683,3286,5,35942,12,3,62522,9201,0,none,0.0,1,Transport,Vehicle Purchase,transport_worker,1.0,1
11197,4393,113970,3252,23,129012,16,3,287624,0,171785,property,1.0,0,Retail Trade,Working Capital,civil_servant,1.0,1
19302,12339,69794,4220,43,167013,17,2,278926,9368,54530,savings,0.7,1,Food & Beverage,Equipment Purchase,small_trader,1.0,1
15434,7187,117419,7471,26,108354,19,5,252803,8012,46137,equipment,0.5,1,Wholesale,Working Capital,small_trader,0.537,1
17438,9620,128925,4696,39,162487,4,3,270810,6839,65347,equipment,0.5,1,Retail Trade,Equipment Purchase,small_trader,1.0,1
16752,9829,12654,1161,14,189392,10,1,263361,0,0,none,0.0,0,Construction,Business Expansion,construction,1.0,1
32162,16789,153506,5607,25,206370,7,4,260802,46042,139087,vehicle,0.8,1,Other,Vehicle Purchase,civil_servant,1.0,1
7125,5915,24231,1420,4,9628,5,4,10833,0,0,none,0.0,0,Services,Medical Emergency,daily_laborer,1.0,1
5420,3147,14548,5085,28,291268,13,1,532301,0,120473,other,0.2,0,Wholesale,Working Capital,small_trader,1.0,1
2647,1786,25731,808,14,25465,10,8,28915,1212,1799,other,0.2,1,Construction,Medical Emergency,daily_laborer,1.0,1
21976,10763,120553,4980,30,193223,31,3,331429,17183,155227,equipment,0.5,1,Retail Trade,Working Capital,micro_entrepreneur,0.3838,0
9485,5608,45709,3841,21,102011,13,4,149222,0,0,none,0.0,0,Construction,Equipment Purchase,construction,1.0,1
11643,6697,117144,7491,14,243439,18,1,384836,6683,260804,other,0.2,1,Retail Trade,Equipment Purchase,small_trader,1.0,1
9734,6041,23577,1201,11,36167,20,1,50904,5508,53828,savings,0.7,1,Wholesale,Business Expansion,small_trader,0.4945,0
8615,4024,37810,2577,18,175437,15,3,337388,3265,215297,savings,0.7,1,Retail Trade,Working Capital,small_trader,1.0,1
26598,13204,194690,2060,46,54578,12,0,155615,0,56048,vehicle,0.8,0,Services,Equipment Purchase,micro_entrepreneur,0.405,1
